Park,Full Park Name,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22,Dec-22,totalVisitors2022,parkID,parkCode,Designation,Latitude,Longitude,entranceFee,entranceFeeDesc,State
Abraham Lincoln Birthplace NHP,Abraham Lincoln Birthplace National Historical Park,5833.0,10174.0,16447.0,25848.0,30360.0,36056.0,36369.0,32346.0,31130.0,21857.0,12503.0,6784.0,265707.0,77E0D7F0-1942-494A-ACE2-9004D2BDC59E,abli,National Historical Park,37.5858662,-85.67330523,Free,,KY
Acadia NP,Acadia National Park,10411.0,13045.0,22476.0,105126.0,327466.0,603023.0,791358.0,785236.0,697292.0,521646.0,70675.0,22506.0,3970260.0,6DA17C86-088E-4B4D-B862-7C1BD5CF236B,acad,National Park,44.409286,-68.247501,6.00,"Vehicle reservations are not required for any other areas of the park, or for visitors who enter the area by foot, bike, or taxi. Vehicle reservations provide a timed entry, but do not require a departure time until 10 pm, when the road closes to vehicles. Reservations do not permit re-entry. Reservations are per vehicle, not per person. Reservations do not assign a specific parking space. Parking is prohibited outside of designated spaces. Cadillac is not served by the Island Explorer bus system.",ME
Adams NHP,Adams National Historical Park,84.0,125.0,204.0,262.0,1343.0,2109.0,2041.0,1876.0,1811.0,2207.0,425.0,361.0,12848.0,E4C7784E-66A0-4D44-87D0-3E072F5FEF43,adam,National Historical Park,42.2553961,-71.01160356,15.00,"Access into the historic homes is by a ticketed, timed tour.  Every individual in your party must have a ticket.  It is strongly recommended that tickets be purchased in advance on Adams National Historical Park's Recreation.gov page.",MA
African Burial Ground NM,African Burial Ground National Monument,458.0,1163.0,1667.0,2625.0,2213.0,3253.0,3073.0,2530.0,3134.0,3173.0,3871.0,2583.0,29743.0,E6E1D22A-7A89-47F8-813C-B611059A8CF9,afbg,National Monument,40.71452681,-74.00447358,Free,,NY
Agate Fossil Beds NM,Agate Fossil Beds National Monument,113.0,117.0,400.0,764.0,2123.0,3332.0,3236.0,2320.0,2501.0,1172.0,224.0,55.0,16357.0,64B9F127-31ED-43C9-882D-D7CD471AF314,agfo,National Monument,42.42170419,-103.753886,Free,,NE
Alibates Flint Quarries NM,Alibates Flint Quarries National Monument,407.0,388.0,996.0,595.0,958.0,770.0,545.0,420.0,624.0,1099.0,550.0,168.0,7520.0,6D82D070-995A-4524-A56E-C1CE182E7D9B,alfl,National Monument,35.581966200000004,-101.6717008,Free,,TX
Allegheny Portage Railroad NHS,Allegheny Portage Railroad National Historic Site,6748.0,7877.0,9484.0,15586.0,15378.0,17915.0,22663.0,20946.0,19622.0,19989.0,13627.0,6309.0,176144.0,3350C18C-8E07-487B-930E-37AD873D31AD,alpo,National Historic Site,40.42977467,-78.57431622,Free,,PA
Amistad NRA,Amistad National Recreation Area,50108.0,55144.0,115510.0,104386.0,72091.0,98182.0,55101.0,83644.0,88560.0,81787.0,61800.0,45970.0,912283.0,34CB30BA-8A5F-4563-AA34-6633708DD9DC,amis,National Recreation Area,29.53539777,-101.07582099999999,Free,,TX
Andersonville NHS,Andersonville National Historic Site,2528.0,3450.0,11014.0,6164.0,6956.0,4765.0,4798.0,2856.0,3106.0,4833.0,5316.0,4323.0,60109.0,00E65872-53F7-4C9B-BD29-B9BC99930D0D,ande,National Historic Site,32.19831758,-84.12988898,Free,,GA
Andrew Johnson NHS,Andrew Johnson National Historic Site,3252.0,3767.0,3354.0,3270.0,6572.0,5429.0,4933.0,4369.0,4943.0,5123.0,3811.0,4050.0,52873.0,2ED6E071-57AA-4B08-8DDA-5CB09FBB75C8,anjo,National Historic Site,36.15624509,-82.83709021,Free,,TN
