Park,22-Jan,22-Feb,22-Mar,22-Apr,22-May,22-Jun,22-Jul,22-Aug,22-Sep,22-Oct,22-Nov,22-Dec,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
Abraham Lincoln Birthplace NHP,"5,833","10,174","16,447","25,848","30,360","36,056","36,369","32,346","31,130","21,857","12,503","6,784",,,,,,,,,,,,,,,,,,,
Acadia NP,"10,411","13,045","22,476","105,126","327,466","603,023","791,358","785,236","697,292","521,646","70,675","22,506",,,,,,,,,,,,,,,,,,,
Adams NHP,84,125,204,262,"1,343","2,109","2,041","1,876","1,811","2,207",425,361,,,,,,,,,,,,,,,,,,,
African Burial Ground NM,458,"1,163","1,667","2,625","2,213","3,253","3,073","2,530","3,134","3,173","3,871","2,583",,,,,,,,,,,,,,,,,,,
Agate Fossil Beds NM,113,117,400,764,"2,123","3,332","3,236","2,320","2,501","1,172",224,55,,,,,,,,,,,,,,,,,,,
Alibates Flint Quarries NM,407,388,996,595,958,770,545,420,624,"1,099",550,168,,,,,,,,,,,,,,,,,,,
Allegheny Portage Railroad NHS,"6,748","7,877","9,484","15,586","15,378","17,915","22,663","20,946","19,622","19,989","13,627","6,309",,,,,,,,,,,,,,,,,,,
Amistad NRA,"50,108","55,144","115,510","104,386","72,091","98,182","55,101","83,644","88,560","81,787","61,800","45,970",,,,,,,,,,,,,,,,,,,
Andersonville NHS,"2,528","3,450","11,014","6,164","6,956","4,765","4,798","2,856","3,106","4,833","5,316","4,323",,,,,,,,,,,,,,,,,,,
Andrew Johnson NHS,"3,252","3,767","3,354","3,270","6,572","5,429","4,933","4,369","4,943","5,123","3,811","4,050",,,,,,,,,,,,,,,,,,,
Antietam NB,"1,435","2,771","6,523","11,837","13,972","13,411","13,952","11,854","13,945","15,181","7,181","3,557",,,,,,,,,,,,,,,,,,,
Apostle Islands NL,"3,943","4,933","3,956","4,456","14,980","36,570","64,711","61,946","34,720","19,142","3,128","2,467",,,,,,,,,,,,,,,,,,,
Appomattox Court House NHP,915,"2,351","5,027","12,360","9,888","11,437","10,852","7,764","8,454","8,029","4,045","2,361",,,,,,,,,,,,,,,,,,,
Arches NP,"40,621","51,568","141,866","148,996","172,114","171,859","158,925","142,790","158,728","146,986","83,239","42,960",,,,,,,,,,,,,,,,,,,
Arkansas Post NMEM,"1,231","1,243","2,165","2,258","3,032","3,418","1,718","2,468","1,403","1,665","1,081","1,109",,,,,,,,,,,,,,,,,,,
Arlington House The R.E. Lee MEM,794,"3,864","26,514","41,264","41,217","51,784","36,444","26,578","21,456","29,085","16,738","10,948",,,,,,,,,,,,,,,,,,,
Assateague Island NS,"42,200","62,687","84,553","166,058","199,396","329,823","476,388","429,913","260,634","144,353","93,368","50,896",,,,,,,,,,,,,,,,,,,
Aztec Ruins NM,"1,976","2,215","3,738","5,447","6,897","7,138","5,945","3,576","4,259","4,326","2,230","2,649",,,,,,,,,,,,,,,,,,,
Badlands NP,"12,671","12,866","25,276","34,943","98,542","204,969","224,054","184,816","121,571","61,115","19,720","6,266",,,,,,,,,,,,,,,,,,,
Bandelier NM,"7,059","8,822","29,101","30,063","6,678","16,832","24,394","17,597","20,363","23,178","14,290","12,564",,,,,,,,,,,,,,,,,,,
Bent's Old Fort NHS,315,411,"1,281","2,000","4,223","3,571","4,336","2,639","3,475","1,659","1,406",741,,,,,,,,,,,,,,,,,,,
Bering Land Bridge NPRES,260,127,292,216,172,148,438,156,61,422,182,168,,,,,,,,,,,,,,,,,,,
Big Bend NP,"46,768","47,229","85,414","59,337","40,722","22,385","19,117","14,915","23,710","45,546","57,158","51,806",,,,,,,,,,,,,,,,,,,
Big Cypress NPRES,"357,457","366,346","374,656","271,226","204,206","193,026","185,896","173,367","147,270","153,852","202,975","272,882",,,,,,,,,,,,,,,,,,,
Big Hole NB,591,735,799,"1,061","4,508","10,787","11,388","8,847","7,719","7,914",280,152,,,,,,,,,,,,,,,,,,,
Big South Fork NRRA,"29,466","42,167","63,779","80,793","76,874","94,857","70,634","66,839","76,449","91,465","53,721","50,682",,,,,,,,,,,,,,,,,,,
Big Thicket NPRES,"17,583","18,418","25,045","21,932","26,854","23,059","23,590","24,353","24,009","23,641","23,078","25,226",,,,,,,,,,,,,,,,,,,
Bighorn Canyon NRA,"6,330","5,187","6,877","15,105","20,578","29,504","53,259","40,689","23,369","8,300","4,877","3,585",,,,,,,,,,,,,,,,,,,
Biscayne NP,"55,096","62,829","64,243","63,574","70,048","54,233","68,066","52,652","45,857","44,757","54,538","65,130",,,,,,,,,,,,,,,,,,,
Black Canyon of the Gunnison NP,"7,260","6,088","9,127","13,755","30,145","31,658","50,608","50,031","42,758","23,413","17,257","15,157",,,,,,,,,,,,,,,,,,,
Blue Ridge PKWY,"261,756","525,156","782,472","1,114,958","1,453,953","1,798,134","1,852,622","1,817,216","1,939,023","2,179,741","1,226,511","759,462",,,,,,,,,,,,,,,,,,,
Booker T. Washington NM,829,761,"1,313","2,069","2,285","2,340","2,519","2,454","1,222","2,245","1,287","1,072",,,,,,,,,,,,,,,,,,,
Boston African American NHS,787,"1,158","4,098","6,120","38,032","100,146","92,841","84,277","34,623","15,881","7,317","5,485",,,,,,,,,,,,,,,,,,,
Boston NHP,"24,889","38,737","82,891","154,278","167,603","266,262","350,959","276,301","253,262","285,501","129,846","92,717",,,,,,,,,,,,,,,,,,,
Brown v. Board of Education NHP,264,613,"1,308","1,390","1,524","2,617","2,285","1,324","1,069","1,327","1,101",742,,,,,,,,,,,,,,,,,,,
