Name,Business Id,Rating,Url,State,Country,Latitude,Longitude,Lookup,Concatenated Key,Check
Vulcan Park and Museum,fNr7jk18sfxi9lY6I0nc_Q,4.5,https://www.yelp.com/biz/vulcan-park-and-museum-birmingham-2?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,AL,US,33.49,-86.80,#N/A,33.49-86.8,#N/A
Majestic Caverns,7v_OTjmb35pKSOis1SDBsQ,3.5,https://www.yelp.com/biz/majestic-caverns-childersburg?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,AL,US,33.31,-86.28,#N/A,33.31-86.28,#N/A
Red Mountain Park,l_wnwJEoIyO0Eq8vOvQr-A,5,https://www.yelp.com/biz/red-mountain-park-birmingham?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,AL,US,33.45,-86.86,#N/A,33.45-86.86,#N/A
Veterans Park,H9ugvh7QMCq5dOz462VlXw,4.5,https://www.yelp.com/biz/veterans-park-hoover?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,AL,US,33.39,-86.73,#N/A,33.39-86.73,#N/A
Natural Bridge Park,_F_PRgh6bBAK2A_6SdDcnw,4.5,https://www.yelp.com/biz/natural-bridge-park-natural-bridge-2?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,AL,US,34.09,-87.62,#N/A,34.09-87.62,#N/A
Kelly Ingram Park,03YLhd6MyN0ocJBO5hKI5A,4.5,https://www.yelp.com/biz/kelly-ingram-park-birmingham?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,AL,US,33.52,-86.81,#N/A,33.52-86.81,33.52-86.81
Moss Rock Preserve,Xf4_uftb6ytTSF2f4RHWgg,4.5,https://www.yelp.com/biz/moss-rock-preserve-hoover?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,AL,US,33.38,-86.84,#N/A,33.38-86.84,#N/A
Clarkson Covered Bridge,r9Y93MhxSSNnajy3S8hK6A,4.5,https://www.yelp.com/biz/clarkson-covered-bridge-cullman?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,AL,US,34.21,-86.99,#N/A,34.21-86.99,#N/A
Clear Creek Recreation Area,CpkQsSaHVs8PENoT2zaz4w,3,https://www.yelp.com/biz/clear-creek-recreation-area-jasper?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,AL,US,34.02,-87.26,#N/A,34.02-87.26,#N/A
Liberty Park,Pwe2JhILtXt8abcnjP6EYQ,4,https://www.yelp.com/biz/liberty-park-vestavia-hills?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,AL,US,33.48,-86.71,#N/A,33.48-86.71,#N/A
Yoga Trekking International,TeGhFU6bQbOUjPbbB5tlCg,5,https://www.yelp.com/biz/yoga-trekking-international-birmingham?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,AL,US,33.52,-86.8,#N/A,33.52-86.8,#N/A
