Park,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22,Dec-22,totalVisitors2022,parkID,parkCode,Designation,Latitude,Longitude
Abraham Lincoln Birthplace National Historical Park,5833,10174,16447,25848,30360,36056,36369,32346,31130,21857,12503,6784,265707,77E0D7F0-1942-494A-ACE2-9004D2BDC59E,abli,National Historical Park,37.5858662,-85.67330523
Acadia National Park,10411,13045,22476,105126,327466,603023,791358,785236,697292,521646,70675,22506,3970260,6DA17C86-088E-4B4D-B862-7C1BD5CF236B,acad,National Park,44.409286,-68.247501
Adams National Historical Park,84,125,204,262,1343,2109,2041,1876,1811,2207,425,361,12848,E4C7784E-66A0-4D44-87D0-3E072F5FEF43,adam,National Historical Park,42.2553961,-71.01160356
African Burial Ground National Monument,458,1163,1667,2625,2213,3253,3073,2530,3134,3173,3871,2583,29743,E6E1D22A-7A89-47F8-813C-B611059A8CF9,afbg,National Monument,40.71452681,-74.00447358
Agate Fossil Beds National Monument,113,117,400,764,2123,3332,3236,2320,2501,1172,224,55,16357,64B9F127-31ED-43C9-882D-D7CD471AF314,agfo,National Monument,42.42170419,-103.753886
Alibates Flint Quarries National Monument,407,388,996,595,958,770,545,420,624,1099,550,168,7520,6D82D070-995A-4524-A56E-C1CE182E7D9B,alfl,National Monument,35.581966200000004,-101.6717008
Allegheny Portage Railroad National Historic Site,6748,7877,9484,15586,15378,17915,22663,20946,19622,19989,13627,6309,176144,3350C18C-8E07-487B-930E-37AD873D31AD,alpo,National Historic Site,40.42977467,-78.57431622
Amistad National Recreation Area,50108,55144,115510,104386,72091,98182,55101,83644,88560,81787,61800,45970,912283,34CB30BA-8A5F-4563-AA34-6633708DD9DC,amis,National Recreation Area,29.53539777,-101.07582099999999
Andersonville National Historic Site,2528,3450,11014,6164,6956,4765,4798,2856,3106,4833,5316,4323,60109,00E65872-53F7-4C9B-BD29-B9BC99930D0D,ande,National Historic Site,32.19831758,-84.12988898
Andrew Johnson National Historic Site,3252,3767,3354,3270,6572,5429,4933,4369,4943,5123,3811,4050,52873,2ED6E071-57AA-4B08-8DDA-5CB09FBB75C8,anjo,National Historic Site,36.15624509,-82.83709021
Antietam National Battlefield,1435,2771,6523,11837,13972,13411,13952,11854,13945,15181,7181,3557,115619,8415526C-C932-4236-A634-2D89DF718936,anti,National Battlefield,39.46763452,-77.73828017
Apostle Islands National Lakeshore,3943,4933,3956,4456,14980,36570,64711,61946,34720,19142,3128,2467,254952,D84122DD-1B0E-4D13-927C-5D6D2A0D200E,apis,National Lakeshore,46.96240467,-90.66045665
Appomattox Court House National Historical Park,915,2351,5027,12360,9888,11437,10852,7764,8454,8029,4045,2361,83483,16CCCC56-1DC1-47D6-AE91-E939955BFC53,apco,National Historical Park,37.38022164,-78.79856982
Arches National Park,40621,51568,141866,148996,172114,171859,158925,142790,158728,146986,83239,42960,1460652,36240051-018E-4915-B6EA-3F1A7F24FBE4,arch,National Park,38.72261844,-109.58636659999999
Arkansas Post National Memorial,1231,1243,2165,2258,3032,3418,1718,2468,1403,1665,1081,1109,22791,6876F4F4-9B8F-4648-89EA-C1BBF770C494,arpo,National Memorial,34.00389998,-91.30837178
Assateague Island National Seashore,42200,62687,84553,166058,199396,329823,476388,429913,260634,144353,93368,50896,2340269,307BE169-345D-472C-8128-20F1D59864A7,asis,National Seashore,38.05593172,-75.24524611
Aztec Ruins National Monument,1976,2215,3738,5447,6897,7138,5945,3576,4259,4326,2230,2649,50396,CD54150B-24F6-4B96-8D6F-B23AF92A70F2,azru,National Monument,36.83682216,-107.9999245
Badlands National Park,12671,12866,25276,34943,98542,204969,224054,184816,121571,61115,19720,6266,1006809,B170CCF7-7AB9-48FF-950E-31815FD4DBB2,badl,National Park,43.68584846,-102.48294200000001
Bandelier National Monument,7059,8822,29101,30063,6678,16832,24394,17597,20363,23178,14290,12564,210941,E28CA30C-2D81-4394-81E9-67677C412115,band,National Monument,35.77898596,-106.3317124
Bent's Old Fort National Historic Site,315,411,1281,2000,4223,3571,4336,2639,3475,1659,1406,741,26057,87F9EFC7-1951-4250-A367-644EC5C4E6A2,beol,National Historic Site,38.03977546,-103.4266499
Bering Land Bridge National Preserve,260,127,292,216,172,148,438,156,61,422,182,168,2642,EE1F4878-00FB-4760-A77F-EA76DB8DEFD9,bela,National Preserve,65.96087902,-164.40864319999997
Big Bend National Park,46768,47229,85414,59337,40722,22385,19117,14915,23710,45546,57158,51806,514107,C9056F71-7162-4208-8AE9-2D0AEFA594FD,bibe,National Park,29.29817767,-103.2297897
Big Cypress National Preserve,357457,366346,374656,271226,204206,193026,185896,173367,147270,153852,202975,272882,2903159,E0F4D5E3-3E4A-4345-B86A-1B0CAD7461F1,bicy,National Preserve,25.97079602,-81.08120629
Big Hole National Battlefield,591,735,799,1061,4508,10787,11388,8847,7719,7914,280,152,54781,3262234F-A56A-447D-AE6C-F5C734ABD3A4,biho,National Battlefield,45.64647324,-113.6458443
Big Thicket National Preserve,17583,18418,25045,21932,26854,23059,23590,24353,24009,23641,23078,25226,276788,3AA12AD8-4FEB-491D-AEB2-CC0F74CD00E0,bith,National Preserve,30.457983431,-94.386742115
Bighorn Canyon National Recreation Area,6330,5187,6877,15105,20578,29504,53259,40689,23369,8300,4877,3585,217660,7568A0D8-73B1-44E6-82C7-E10BA1872209,bica,National Recreation Area,45.13154227,-108.1443943
Biscayne National Park,55096,62829,64243,63574,70048,54233,68066,52652,45857,44757,54538,65130,701023,FBF9F793-5114-4B61-A5BA-6F9ADDFDF459,bisc,National Park,25.490586999999998,-80.21023851
Boston African American National Historic Site,787,1158,4098,6120,38032,100146,92841,84277,34623,15881,7317,5485,390765,87F00684-8E1F-4E12-B463-2B5B929A0C74,boaf,National Historic Site,42.35908295,-71.06764181
Boston National Historical Park,24889,38737,82891,154278,167603,266262,350959,276301,253262,285501,129846,92717,2123246,81F81EBD-0FE7-4811-88EF-AB071E737D97,bost,National Historical Park,42.36957407,-71.05536763
