Name,Business Id,Rating,Url,State,Country,Latitude,Longitude
Vulcan Park and Museum,fNr7jk18sfxi9lY6I0nc_Q,4.5,https://www.yelp.com/biz/vulcan-park-and-museum-birmingham-2?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,AL,US,33.49,-86.8
Oak Hill Cemetery,4GQ7FtAiAMFpmRZM2sLFJQ,5.0,https://www.yelp.com/biz/oak-hill-cemetery-birmingham?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,AL,US,33.53,-86.82
Majestic Caverns,7v_OTjmb35pKSOis1SDBsQ,3.5,https://www.yelp.com/biz/majestic-caverns-childersburg?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,AL,US,33.31,-86.28
Sloss Furnaces,2OPyCVbmnqkweFLmX34fHQ,4.5,https://www.yelp.com/biz/sloss-furnaces-birmingham-2?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,AL,US,33.52,-86.79
Cahaba River national wildlife refuge,UNOwKjZk8kifLVtwjWVUsg,4.5,https://www.yelp.com/biz/cahaba-river-national-wildlife-refuge-west-blocton?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,AL,US,33.11,-87.14
Rentmonster,l3eKwnzDu2522J5RjJxsSw,5.0,https://www.yelp.com/biz/rentmonster-birmingham?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,AL,US,33.5,-86.8
Lakeshore Foundation,GOAMnSXKv5lDSrBx2MgETQ,4.5,https://www.yelp.com/biz/lakeshore-foundation-birmingham?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,AL,US,33.47,-86.79
Bluff Creek Falls,miaI8chdbL1QwVNuiL20HA,4.0,https://www.yelp.com/biz/bluff-creek-falls-steele?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,AL,US,33.93,-86.27
Red Mountain Park,l_wnwJEoIyO0Eq8vOvQr-A,5.0,https://www.yelp.com/biz/red-mountain-park-birmingham?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,AL,US,33.45,-86.86
Veterans Park,H9ugvh7QMCq5dOz462VlXw,4.5,https://www.yelp.com/biz/veterans-park-hoover?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,AL,US,33.39,-86.73
