Name,Full Park Name,Park Code,State,Yelp Rating
Abraham Lincoln Birthplace NHP,Abraham Lincoln Birthplace National Historical Park,abli,KY,4.0
Acadia NP,Acadia National Park,acad,ME,5.0
Adams NHP,Adams National Historical Park,adam,MA,4.5
African Burial Ground NM,African Burial Ground National Monument,afbg,NY,4.5
Agate Fossil Beds NM,Agate Fossil Beds National Monument,agfo,NE,NaN
Alibates Flint Quarries NM,Alibates Flint Quarries National Monument,alfl,TX,NaN
Allegheny Portage Railroad NHS,Allegheny Portage Railroad National Historic Site,alpo,PA,NaN
Amistad NRA,Amistad National Recreation Area,amis,TX,NaN
Andersonville NHS,Andersonville National Historic Site,ande,GA,NaN
Andrew Johnson NHS,Andrew Johnson National Historic Site,anjo,TN,4.5
Antietam NB,Antietam National Battlefield,anti,MD,4.5
Apostle Islands NL,Apostle Islands National Lakeshore,apis,WI,NaN
Appomattox Court House NHP,Appomattox Court House National Historical Park,apco,VA,5.0
Arches NP,Arches National Park,arch,UT,4.5
Arkansas Post NMEM,Arkansas Post National Memorial,arpo,AR,4.5
Assateague Island NS,Assateague Island National Seashore,asis,N/A,NaN
Aztec Ruins NM,Aztec Ruins National Monument,azru,NM,3.0
Badlands NP,Badlands National Park,badl,SD,4.5
Bandelier NM,Bandelier National Monument,band,NM,5.0
Bent's Old Fort NHS,Bent's Old Fort National Historic Site,beol,CO,NaN
Bering Land Bridge NPRES,Bering Land Bridge National Preserve,bela,AK,NaN
Big Bend NP,Big Bend National Park,bibe,TX,4.0
Big Cypress NPRES,Big Cypress National Preserve,bicy,FL,NaN
Big Hole NB,Big Hole National Battlefield,biho,MT,NaN
Big Thicket NPRES,Big Thicket National Preserve,bith,TX,4.5
Bighorn Canyon NRA,Bighorn Canyon National Recreation Area,bica,N/A,NaN
Biscayne NP,Biscayne National Park,bisc,FL,NaN
Boston African American NHS,Boston African American National Historic Site,boaf,MA,4.5
Boston NHP,Boston National Historical Park,bost,MA,4.5
Brown v. Board of Education NHP,Brown v. Board of Education National Historical Park,brvb,KS,NaN
Bryce Canyon NP,Bryce Canyon National Park,brca,UT,5.0
Buck Island Reef NM,Buck Island Reef National Monument,buis,VI,4.5
Buffalo NR,Buffalo National River,buff,AR,4.5
Cabrillo NM,Cabrillo National Monument,cabr,CA,NaN
Camp Nelson NM,Camp Nelson National Monument,cane,KY,NaN
Canaveral NS,Canaveral National Seashore,cana,FL,NaN
Cane River Creole NHP,Cane River Creole National Historical Park,cari,LA,4.0
Canyon de Chelly NM,Canyon de Chelly National Monument,cach,AZ,4.5
Canyonlands NP,Canyonlands National Park,cany,UT,4.5
Cape Cod NS,Cape Cod National Seashore,caco,MA,4.5
Cape Hatteras NS,Cape Hatteras National Seashore,caha,NC,NaN
Cape Krusenstern NM,Cape Krusenstern National Monument,cakr,AK,NaN
Cape Lookout NS,Cape Lookout National Seashore,calo,NC,NaN
Capitol Reef NP,Capitol Reef National Park,care,UT,5.0
Capulin Volcano NM,Capulin Volcano National Monument,cavo,NM,NaN
Carl Sandburg Home NHS,Carl Sandburg Home National Historic Site,carl,NC,4.5
Carlsbad Caverns NP,Carlsbad Caverns National Park,cave,NM,4.0
Casa Grande Ruins NM,Casa Grande Ruins National Monument,cagr,AZ,4.0
Castillo de San Marcos NM,Castillo de San Marcos National Monument,casa,FL,NaN
Castle Clinton NM,Castle Clinton National Monument,cacl,NY,3.5
Catoctin Mountain Park,Catoctin Mountain Park,cato,MD,4.0
Cedar Breaks NM,Cedar Breaks National Monument,cebr,UT,NaN
Chaco Culture NHP,Chaco Culture National Historical Park,chcu,NM,4.5
Chamizal NMEM,Chamizal National Memorial,cham,TX,NaN
Channel Islands NP,Channel Islands National Park,chis,CA,NaN
Charles Pinckney NHS,Charles Pinckney National Historic Site,chpi,SC,4.0
Charles Young Buffalo Soldiers NM,Charles Young Buffalo Soldiers National Monument,chyo,OH,3.5
Chattahoochee River NRA,Chattahoochee River National Recreation Area,chat,GA,4.5
Chesapeake & Ohio Canal NHP,Chesapeake & Ohio Canal National Historical Park,choh,N/A,3.0
Chickamauga & Chattanooga NMP,Chickamauga & Chattanooga National Military Park,chch,N/A,NaN
Chickasaw NRA,Chickasaw National Recreation Area,chic,OK,NaN
Chiricahua NM,Chiricahua National Monument,chir,AZ,NaN
Christiansted NHS,Christiansted National Historic Site,chri,VI,3.5
Colonial NHP,Colonial National Historical Park,colo,VA,4.0
Colorado NM,Colorado National Monument,colm,CO,4.5
Congaree NP,Congaree National Park,cong,SC,4.5
Coronado NMEM,Coronado National Memorial,coro,AZ,NaN
Cowpens NB,Cowpens National Battlefield,cowp,SC,4.5
Crater Lake NP,Crater Lake National Park,crla,OR,5.0
Cumberland Gap NHP,Cumberland Gap National Historical Park,cuga,N/A,NaN
Cumberland Island NS,Cumberland Island National Seashore,cuis,GA,NaN
Curecanti NRA,Curecanti National Recreation Area,cure,CO,NaN
Cuyahoga Valley NP,Cuyahoga Valley National Park,cuva,OH,4.5
Dayton Aviation Heritage NHP,Dayton Aviation Heritage National Historical Park,daav,OH,4.5
De Soto NMEM,De Soto National Memorial,deso,FL,4.5
Death Valley NP,Death Valley National Park,deva,N/A,4.5
Delaware Water Gap NRA,Delaware Water Gap National Recreation Area,dewa,N/A,NaN
Denali NP & PRES,Denali National Park & Preserve,dena,AK,4.5
Devils Tower NM,Devils Tower National Monument,deto,WY,NaN
Dinosaur NM,Dinosaur National Monument,dino,N/A,4.0
Dry Tortugas NP,Dry Tortugas National Park,drto,FL,NaN
Dwight D. Eisenhower MEM,Dwight D. Eisenhower Memorial,ddem,DC,4.0
Effigy Mounds NM,Effigy Mounds National Monument,efmo,IA,NaN
Eisenhower NHS,Eisenhower National Historic Site,eise,PA,NaN
El Malpais NM,El Malpais National Monument,elma,NM,4.5
El Morro NM,El Morro National Monument,elmo,NM,NaN
Eleanor Roosevelt NHS,Eleanor Roosevelt National Historic Site,elro,NY,4.5
Eugene O'Neill NHS,Eugene O'Neill National Historic Site,euon,CA,NaN
Everglades NP,Everglades National Park,ever,FL,NaN
Federal Hall NMEM,Federal Hall National Memorial,feha,NY,4.0
Fire Island NS,Fire Island National Seashore,fiis,NY,4.5
First Ladies NHS,First Ladies National Historic Site,fila,OH,4.5
Flight 93 NMEM,Flight 93 National Memorial,flni,PA,NaN
Florissant Fossil Beds NM,Florissant Fossil Beds National Monument,flfo,CO,4.0
Fort Bowie NHS,Fort Bowie National Historic Site,fobo,AZ,NaN
Fort Davis NHS,Fort Davis National Historic Site,foda,TX,4.0
Fort Donelson NB,Fort Donelson National Battlefield,fodo,N/A,NaN
Fort Frederica NM,Fort Frederica National Monument,fofr,GA,NaN
Fort Laramie NHS,Fort Laramie National Historic Site,fola,WY,NaN
Fort Larned NHS,Fort Larned National Historic Site,fols,KS,5.0
Fort Matanzas NM,Fort Matanzas National Monument,foma,FL,NaN
Fort McHenry NM & HS,Fort McHenry National Monument and Historic Shrine,fomc,MD,4.5
Fort Necessity NB,Fort Necessity National Battlefield,fone,PA,NaN
Fort Point NHS,Fort Point National Historic Site,fopo,CA,4.5
Fort Pulaski NM,Fort Pulaski National Monument,fopu,GA,NaN
Fort Raleigh NHS,Fort Raleigh National Historic Site,fora,NC,NaN
Fort Scott NHS,Fort Scott National Historic Site,fosc,KS,NaN
Fort Smith NHS,Fort Smith National Historic Site,fosm,N/A,4.0
Fort Stanwix NM,Fort Stanwix National Monument,fost,NY,NaN
Fort Sumter and Fort Moultrie NHP,Fort Sumter and Fort Moultrie National Historical Park,fosu,SC,NaN
Fort Union NM,Fort Union National Monument,foun,NM,NaN
Fort Union Trading Post NHS,Fort Union Trading Post National Historic Site,fous,N/A,4.5
Fort Vancouver NHS,Fort Vancouver National Historic Site,fova,N/A,4.5
Fort Washington Park,Fort Washington Park,fowa,MD,4.0
Fossil Butte NM,Fossil Butte National Monument,fobu,WY,NaN
Franklin Delano Roosevelt MEM,Franklin Delano Roosevelt Memorial,frde,DC,4.5
Frederick Douglass NHS,Frederick Douglass National Historic Site,frdo,DC,4.5
