Park,Dec-22,Nov-22,Oct-22,Sep-22,Aug-22,Jul-22,Jun-22,May-22,Apr-22,Mar-22,Feb-22,Jan-22
Abraham Lincoln Birthplace NHP,"6,784","12,503","21,857","31,130","32,346","36,369","36,056","30,360","25,848","16,447","10,174","5,833"
Acadia NP,"22,506","70,675","521,646","697,292","785,236","791,358","603,023","327,466","105,126","22,476","13,045","10,411"
Adams NHP,361,425,"2,207","1,811","1,876","2,041","2,109","1,343",262,204,125,84
African Burial Ground NM,"2,583","3,871","3,173","3,134","2,530","3,073","3,253","2,213","2,625","1,667","1,163",458
Agate Fossil Beds NM,55,224,"1,172","2,501","2,320","3,236","3,332","2,123",764,400,117,113
Alagnak Wild River,0,0,0,10,40,122,12,958,595,996,388,407
Alibates Flint Quarries NM,168,550,"1,099",624,420,545,770,"15,378","15,586","9,484","7,877","6,748"
Allegheny Portage Railroad NHS,"6,309","13,627","19,989","19,622","20,946","22,663","17,915","72,091","104,386","115,510","55,144","50,108"
Amistad NRA,"45,970","61,800","81,787","88,560","83,644","55,101","98,182","6,956","6,164","11,014","3,450","2,528"
Andersonville NHS,"4,323","5,316","4,833","3,106","2,856","4,798","4,765","6,572","3,270","3,354","3,767","3,252"
Andrew Johnson NHS,"4,050","3,811","5,123","4,943","4,369","4,933","5,429",54,"11,837","6,523","2,771","1,435"
Aniakchak NM & PRES,0,0,2,16,24,72,11,"13,972","4,456","3,956","4,933","3,943"
Antietam NB,"3,557","7,181","15,181","13,945","11,854","13,952","13,411","14,980","12,360","5,027","2,351",915
Apostle Islands NL,"2,467","3,128","19,142","34,720","61,946","64,711","36,570","9,888","148,996","141,866","51,568","40,621"
Appomattox Court House NHP,"2,361","4,045","8,029","8,454","7,764","10,852","11,437","172,114","2,258","2,165","1,243","1,231"
Arches NP,"42,960","83,239","146,986","158,728","142,790","158,925","171,859","3,032","41,264","26,514","3,864",794
Arkansas Post NMEM,"1,109","1,081","1,665","1,403","2,468","1,718","3,418","41,217","166,058","84,553","62,687","42,200"
Arlington House The R.E. Lee MEM,"10,948","16,738","29,085","21,456","26,578","36,444","51,784","199,396","5,447","3,738","2,215","1,976"
Assateague Island NS,"50,896","93,368","144,353","260,634","429,913","476,388","329,823","6,897","34,943","25,276","12,866","12,671"
Aztec Ruins NM,"2,649","2,230","4,326","4,259","3,576","5,945","7,138","98,542","30,063","29,101","8,822","7,059"
Badlands NP,"6,266","19,720","61,115","121,571","184,816","224,054","204,969","6,678","2,000","1,281",411,315
Bandelier NM,"12,564","14,290","23,178","20,363","17,597","24,394","16,832","4,223",216,292,127,260
Bent's Old Fort NHS,741,"1,406","1,659","3,475","2,639","4,336","3,571",172,"59,337","85,414","47,229","46,768"
Bering Land Bridge NPRES,168,182,422,61,156,438,148,"40,722","271,226","374,656","366,346","357,457"
Big Bend NP,"51,806","57,158","45,546","23,710","14,915","19,117","22,385","204,206","1,061",799,735,591
Big Cypress NPRES,"272,882","202,975","153,852","147,270","173,367","185,896","193,026","4,508","80,793","63,779","42,167","29,466"
Big Hole NB,152,280,"7,914","7,719","8,847","11,388","10,787","76,874","21,932","25,045","18,418","17,583"
Big South Fork NRRA,"50,682","53,721","91,465","76,449","66,839","70,634","94,857","26,854","15,105","6,877","5,187","6,330"
Big Thicket NPRES,"25,226","23,078","23,641","24,009","24,353","23,590","23,059","20,578","63,574","64,243","62,829","55,096"
Bighorn Canyon NRA,"3,585","4,877","8,300","23,369","40,689","53,259","29,504","70,048","13,755","9,127","6,088","7,260"
Biscayne NP,"65,130","54,538","44,757","45,857","52,652","68,066","54,233","30,145","1,114,958","782,472","525,156","261,756"
Black Canyon of the Gunnison NP,"15,157","17,257","23,413","42,758","50,031","50,608","31,658","1,453,953","2,069","1,313",761,829
Blue Ridge PKWY,"759,462","1,226,511","2,179,741","1,939,023","1,817,216","1,852,622","1,798,134",809,"6,120","4,098","1,158",787
Bluestone NSR,0,0,"1,067","2,270","3,368","3,519","3,080","2,285","154,278","82,891","38,737","24,889"
Booker T. Washington NM,"1,072","1,287","2,245","1,222","2,454","2,519","2,340","38,032","1,390","1,308",613,264
Boston African American NHS,"5,485","7,317","15,881","34,623","84,277","92,841","100,146","4,424","236,812","101,308","35,611","30,960"
Boston Harbor Islands NRA,0,0,"2,166","5,052","6,418","6,994","4,187","167,603","4,896","5,730","4,031","3,792"
Boston NHP,"92,717","129,846","285,501","253,262","276,301","350,959","266,262","1,524","93,086","88,549","29,398","33,465"
Brown v. Board of Education NHP,742,"1,101","1,327","1,069","1,324","2,285","2,617","299,919","63,833","67,546","63,019","68,589"
Bryce Canyon NP,"46,923","75,378","233,647","336,588","308,545","318,861","330,108","4,042","1,533",630,454,252
Buck Island Reef NM,"3,525","2,816","2,457","1,737","3,432","3,885","5,022","165,318","203,907","242,357","187,363","151,584"
Buffalo NR,"30,290","61,959","108,175","94,025","134,430","220,598","247,639","61,847","1,879","1,771",887,778
Cabrillo NM,"71,996","56,916","52,312","52,568","63,474","80,622","65,354","1,941","33,408","33,602","18,347","14,409"
Camp Nelson NM,776,866,"1,704","1,611","1,686","2,088","2,676","223,204","99,206","77,834","19,077","15,184"
Canaveral NS,"65,192","91,349","169,750","159,502","190,068","233,352","204,447","1,413","256,095","192,170","157,612","114,232"
Cane River Creole NHP,"1,218","1,160","1,399","1,044",751,"1,253","1,258","37,711","211,064","147,652","69,534","65,346"
Canyon de Chelly NM,"20,321","18,562","35,924","30,291","41,807","29,905","40,685","114,926",780,689,835,"1,098"
Canyonlands NP,"16,243","40,745","91,788","86,326","63,092","67,640","87,086","305,843","48,607","24,968","12,296","17,645"
Cape Cod NS,"160,506","189,436","366,049","470,998","665,588","643,809","446,334","269,958","128,061","90,092","25,859","20,089"
Cape Hatteras NS,"83,710","146,133","230,135","358,962","412,239","443,905","424,206",924,"4,452","6,503","2,029","2,271"
Cape Krusenstern NM,"1,804","2,595","1,748","1,550","1,940","1,889","1,551","49,231","9,955","13,521","5,261","2,148"
Cape Lookout NS,"30,379","28,828","43,607","63,551","74,686","70,956","76,779","221,889","37,869","48,021","21,887","20,549"
Capitol Reef NP,"20,925","57,972","140,119","130,243","118,927","107,562","165,870","8,185","5,934","10,823","8,502","6,511"
Capulin Volcano NM,"4,307","3,439","6,175","7,798","9,363","19,866","14,153","8,308","57,107","63,932","42,814","45,244"
Carl Sandburg Home NHS,"3,584","3,584","5,048","4,337","5,969","7,842","9,566","34,898","312,360","210,492","117,759","101,419"
Carlsbad Caverns NP,"27,795","23,257","32,267","23,494","24,177","51,525","45,193","4,851","47,357","24,803","45,077","29,554"
Casa Grande Ruins NM,"9,248","8,724","6,699","5,022","3,609","4,423","4,211","48,872","22,290","14,589","14,001","18,001"
Castillo de San Marcos NM,"68,332","45,890","43,844","36,393","44,802","68,857","58,754","366,200","1,242","1,325",925,611
Castle Clinton NM,"275,756","236,759","319,653","288,319","417,645","459,099","366,200","38,775","5,782","4,697","1,347",982
Catoctin Mountain Park,"19,893","32,268","52,403","28,715","55,845","24,455","51,177","62,564","1,772",762,934,0
Cedar Breaks NM,"18,793","22,903","87,041","101,428","92,674","135,477","98,883","1,320","30,769","25,048","21,175","16,968"
Cesar E. Chavez NM,686,608,935,855,778,"1,209","1,091","5,805","1,228","1,120",977,591
Chaco Culture NHP,"1,394","2,370","5,301","4,951","2,081","2,899","3,985",738,291,268,240,175
Chamizal NMEM,492,"1,760","4,135","2,644","3,520",278,638,"23,636","311,301","282,208","233,931","227,042"
Channel Islands NP,"17,579","27,468","27,647","31,120","33,844","37,853","30,138","1,131","444,134","387,464","237,858","209,068"
Charles Pinckney NHS,"1,634",694,834,"1,787",788,667,"1,134",262,"92,225","89,852","65,185","59,671"
Charles Young Buffalo Soldiers NM,133,311,241,401,431,438,327,"359,759","75,040","80,214","57,099","45,093"
Chattahoochee River NRA,"189,705","273,395","279,372","312,764","347,967","342,567","377,837","428,772","8,157","10,526","6,130","4,894"
Chesapeake & Ohio Canal NHP,"270,068","327,376","368,091","407,940","382,061","405,490","417,863","91,215","8,134","8,225","8,145","8,143"
Chickamauga & Chattanooga NMP,"68,715","76,196","83,866","82,873","75,825","85,989","92,660","167,500","5,914","2,722","1,327","1,285"
Chickasaw NRA,"38,592","43,985","62,564","152,244","227,070","268,256","237,873","5,430","286,326","273,880","108,854","132,518"
Chiricahua NM,"4,889","4,973","5,484","3,190","2,308","2,631","2,765","8,152","45,111","39,487","26,984","26,657"
Christiansted NHS,"9,327","7,968","7,863","7,635","7,520","7,724","7,751","12,152","25,618","24,310","16,124","11,149"
City of Rocks NRES,"1,680","3,034","11,871","12,016","9,883","11,221","10,891","295,075","11,774","13,255","11,168","10,418"
Clara Barton NHS,145,140,266,122,"264,914","278,243","265,837","50,354","23,293","18,134","17,579","15,779"
Colonial NHP,"173,113","186,900","246,443","250,170","46,710","46,565","50,020","24,164","14,779","11,933","9,213","6,752"
Colorado NM,"23,904","31,872","43,808","48,970","11,645","12,054","18,903","9,818","12,319","6,541","4,507","2,387"
Congaree NP,"13,677","15,765","16,994","14,119","10,711","9,473","10,061","19,959","56,085","63,456","38,153","31,769"
Coronado NMEM,"12,997","10,835","9,905","10,944","18,774","19,232","16,897","31,822","8,158","7,568","6,395","3,510"
Cowpens NB,"12,769","14,374","18,570","17,174","107,351","139,513","70,975","24,415","32,113","25,226","25,714","14,450"
Crater Lake NP,"5,484","10,481","39,989","78,967","31,663","46,357","47,343","73,585","233,050","174,226","110,513","98,868"
Craters of the Moon NM & PRES,"1,814","5,782","19,536","35,110","77,800","74,654","71,365","6,137","6,689","3,850","1,420","1,038"
Cumberland Gap NHP,"36,457","56,529","83,354","69,709","2,980","5,520","6,392","126,716","18,237","17,803","14,479","9,170"
Cumberland Island NS,"4,174","4,833","5,442","3,278","110,968","247,012","188,701","325,101","108,984","182,052","124,091","92,212"
