Park,Aug-22
Abraham Lincoln Birthplace NHP,"32,346"
Acadia NP,"785,236"
Adams NHP,"1,876"
African Burial Ground NM,"2,530"
Agate Fossil Beds NM,"2,320"
Alagnak Wild River,40
Alibates Flint Quarries NM,420
Allegheny Portage Railroad NHS,"20,946"
Amistad NRA,"83,644"
Andersonville NHS,"2,856"
Andrew Johnson NHS,"4,369"
Aniakchak NM & PRES,24
Antietam NB,"11,854"
Apostle Islands NL,"61,946"
Appomattox Court House NHP,"7,764"
Arches NP,"142,790"
Arkansas Post NMEM,"2,468"
Arlington House The R.E. Lee MEM,"26,578"
Assateague Island NS,"429,913"
Aztec Ruins NM,"3,576"
Badlands NP,"184,816"
Bandelier NM,"17,597"
Bent's Old Fort NHS,"2,639"
Bering Land Bridge NPRES,156
Big Bend NP,"14,915"
Big Cypress NPRES,"173,367"
Big Hole NB,"8,847"
Big South Fork NRRA,"66,839"
Big Thicket NPRES,"24,353"
Bighorn Canyon NRA,"40,689"
Biscayne NP,"52,652"
Black Canyon of the Gunnison NP,"50,031"
Blue Ridge PKWY,"1,817,216"
Bluestone NSR,"3,368"
Booker T. Washington NM,"2,454"
Boston African American NHS,"84,277"
Boston Harbor Islands NRA,"6,418"
Boston NHP,"276,301"
Brown v. Board of Education NHP,"1,324"
Bryce Canyon NP,"308,545"
Buck Island Reef NM,"3,432"
Buffalo NR,"134,430"
Cabrillo NM,"63,474"
Camp Nelson NM,"1,686"
Canaveral NS,"190,068"
Cane River Creole NHP,751
Canyon de Chelly NM,"41,807"
Canyonlands NP,"63,092"
Cape Cod NS,"665,588"
Cape Hatteras NS,"412,239"
Cape Krusenstern NM,"1,940"
Cape Lookout NS,"74,686"
Capitol Reef NP,"118,927"
Capulin Volcano NM,"9,363"
Carl Sandburg Home NHS,"5,969"
Carlsbad Caverns NP,"24,177"
Casa Grande Ruins NM,"3,609"
Castillo de San Marcos NM,"44,802"
Castle Clinton NM,"417,645"
Catoctin Mountain Park,"55,845"
Cedar Breaks NM,"92,674"
Cesar E. Chavez NM,778
Chaco Culture NHP,"2,081"
Chamizal NMEM,"3,520"
Channel Islands NP,"33,844"
Charles Pinckney NHS,788
Charles Young Buffalo Soldiers NM,431
Chattahoochee River NRA,"347,967"
Chesapeake & Ohio Canal NHP,"382,061"
Chickamauga & Chattanooga NMP,"75,825"
Chickasaw NRA,"227,070"
Chiricahua NM,"2,308"
Christiansted NHS,"7,520"
City of Rocks NRES,"9,883"
Colonial NHP,"264,914"
Colorado NM,"46,710"
Congaree NP,"11,645"
Coronado NMEM,"10,711"
Cowpens NB,"18,774"
Crater Lake NP,"107,351"
Craters of the Moon NM & PRES,"31,663"
Cumberland Gap NHP,"77,800"
Cumberland Island NS,"2,980"
Curecanti NRA,"110,968"
Cuyahoga Valley NP,"341,220"
Dayton Aviation Heritage NHP,"6,807"
De Soto NMEM,"12,841"
Death Valley NP,"48,242"
