Park,Dec-22,,,,,,,,,,,,,,,,,,,
Abraham Lincoln Birthplace NHP,"6,784",,,,,,,,,,,,,,,,,,,
Acadia NP,"22,506",,,,,,,,,,,,,,,,,,,
Adams NHP,361,,,,,,,,,,,,,,,,,,,
African Burial Ground NM,"2,583",,,,,,,,,,,,,,,,,,,
Agate Fossil Beds NM,55,,,,,,,,,,,,,,,,,,,
Alagnak Wild River,0,,,,,,,,,,,,,,,,,,,
Alibates Flint Quarries NM,168,,,,,,,,,,,,,,,,,,,
Allegheny Portage Railroad NHS,"6,309",,,,,,,,,,,,,,,,,,,
Amistad NRA,"45,970",,,,,,,,,,,,,,,,,,,
Andersonville NHS,"4,323",,,,,,,,,,,,,,,,,,,
Andrew Johnson NHS,"4,050",,,,,,,,,,,,,,,,,,,
Aniakchak NM & PRES,0,,,,,,,,,,,,,,,,,,,
Antietam NB,"3,557",,,,,,,,,,,,,,,,,,,
Apostle Islands NL,"2,467",,,,,,,,,,,,,,,,,,,
Appomattox Court House NHP,"2,361",,,,,,,,,,,,,,,,,,,
Arches NP,"42,960",,,,,,,,,,,,,,,,,,,
Arkansas Post NMEM,"1,109",,,,,,,,,,,,,,,,,,,
Arlington House The R.E. Lee MEM,"10,948",,,,,,,,,,,,,,,,,,,
Assateague Island NS,"50,896",,,,,,,,,,,,,,,,,,,
Aztec Ruins NM,"2,649",,,,,,,,,,,,,,,,,,,
Badlands NP,"6,266",,,,,,,,,,,,,,,,,,,
Bandelier NM,"12,564",,,,,,,,,,,,,,,,,,,
Bent's Old Fort NHS,741,,,,,,,,,,,,,,,,,,,
Bering Land Bridge NPRES,168,,,,,,,,,,,,,,,,,,,
Big Bend NP,"51,806",,,,,,,,,,,,,,,,,,,
Big Cypress NPRES,"272,882",,,,,,,,,,,,,,,,,,,
Big Hole NB,152,,,,,,,,,,,,,,,,,,,
Big South Fork NRRA,"50,682",,,,,,,,,,,,,,,,,,,
Big Thicket NPRES,"25,226",,,,,,,,,,,,,,,,,,,
Bighorn Canyon NRA,"3,585",,,,,,,,,,,,,,,,,,,
Biscayne NP,"65,130",,,,,,,,,,,,,,,,,,,
Black Canyon of the Gunnison NP,"15,157",,,,,,,,,,,,,,,,,,,
Blue Ridge PKWY,"759,462",,,,,,,,,,,,,,,,,,,
Bluestone NSR,0,,,,,,,,,,,,,,,,,,,
Booker T. Washington NM,"1,072",,,,,,,,,,,,,,,,,,,
Boston African American NHS,"5,485",,,,,,,,,,,,,,,,,,,
Boston Harbor Islands NRA,0,,,,,,,,,,,,,,,,,,,
Boston NHP,"92,717",,,,,,,,,,,,,,,,,,,
Brown v. Board of Education NHP,742,,,,,,,,,,,,,,,,,,,
Bryce Canyon NP,"46,923",,,,,,,,,,,,,,,,,,,
Buck Island Reef NM,"3,525",,,,,,,,,,,,,,,,,,,
Buffalo NR,"30,290",,,,,,,,,,,,,,,,,,,
Cabrillo NM,"71,996",,,,,,,,,,,,,,,,,,,
Camp Nelson NM,776,,,,,,,,,,,,,,,,,,,
Canaveral NS,"65,192",,,,,,,,,,,,,,,,,,,
Cane River Creole NHP,"1,218",,,,,,,,,,,,,,,,,,,
Canyon de Chelly NM,"20,321",,,,,,,,,,,,,,,,,,,
Canyonlands NP,"16,243",,,,,,,,,,,,,,,,,,,
Cape Cod NS,"160,506",,,,,,,,,,,,,,,,,,,
Cape Hatteras NS,"83,710",,,,,,,,,,,,,,,,,,,
Cape Krusenstern NM,"1,804",,,,,,,,,,,,,,,,,,,
Cape Lookout NS,"30,379",,,,,,,,,,,,,,,,,,,
Capitol Reef NP,"20,925",,,,,,,,,,,,,,,,,,,
Capulin Volcano NM,"4,307",,,,,,,,,,,,,,,,,,,
Carl Sandburg Home NHS,"3,584",,,,,,,,,,,,,,,,,,,
Carlsbad Caverns NP,"27,795",,,,,,,,,,,,,,,,,,,
Casa Grande Ruins NM,"9,248",,,,,,,,,,,,,,,,,,,
Castillo de San Marcos NM,"68,332",,,,,,,,,,,,,,,,,,,
Castle Clinton NM,"275,756",,,,,,,,,,,,,,,,,,,
Catoctin Mountain Park,"19,893",,,,,,,,,,,,,,,,,,,
Cedar Breaks NM,"18,793",,,,,,,,,,,,,,,,,,,
Cesar E. Chavez NM,686,,,,,,,,,,,,,,,,,,,
Chaco Culture NHP,"1,394",,,,,,,,,,,,,,,,,,,
Chamizal NMEM,492,,,,,,,,,,,,,,,,,,,
Channel Islands NP,"17,579",,,,,,,,,,,,,,,,,,,
Charles Pinckney NHS,"1,634",,,,,,,,,,,,,,,,,,,
Charles Young Buffalo Soldiers NM,133,,,,,,,,,,,,,,,,,,,
Chattahoochee River NRA,"189,705",,,,,,,,,,,,,,,,,,,
Chesapeake & Ohio Canal NHP,"270,068",,,,,,,,,,,,,,,,,,,
Chickamauga & Chattanooga NMP,"68,715",,,,,,,,,,,,,,,,,,,
Chickasaw NRA,"38,592",,,,,,,,,,,,,,,,,,,
Chiricahua NM,"4,889",,,,,,,,,,,,,,,,,,,
Christiansted NHS,"9,327",,,,,,,,,,,,,,,,,,,
City of Rocks NRES,"1,680",,,,,,,,,,,,,,,,,,,
Clara Barton NHS,145,,,,,,,,,,,,,,,,,,,
Colonial NHP,"173,113",,,,,,,,,,,,,,,,,,,
Colorado NM,"23,904",,,,,,,,,,,,,,,,,,,
Congaree NP,"13,677",,,,,,,,,,,,,,,,,,,
Coronado NMEM,"12,997",,,,,,,,,,,,,,,,,,,
Cowpens NB,"12,769",,,,,,,,,,,,,,,,,,,
Crater Lake NP,"5,484",,,,,,,,,,,,,,,,,,,
Craters of the Moon NM & PRES,"1,814",,,,,,,,,,,,,,,,,,,
Cumberland Gap NHP,"36,457",,,,,,,,,,,,,,,,,,,
Cumberland Island NS,"4,174",,,,,,,,,,,,,,,,,,,
Curecanti NRA,"15,442",,,,,,,,,,,,,,,,,,,
Cuyahoga Valley NP,"109,548",,,,,,,,,,,,,,,,,,,
Dayton Aviation Heritage NHP,"12,226",,,,,,,,,,,,,,,,,,,
De Soto NMEM,"13,021",,,,,,,,,,,,,,,,,,,
Death Valley NP,"109,456",,,,,,,,,,,,,,,,,,,
Delaware Water Gap NRA,"179,011",,,,,,,,,,,,,,,,,,,
Denali NP & PRES,"1,796",,,,,,,,,,,,,,,,,,,
Devils Postpile NM,0,,,,,,,,,,,,,,,,,,,
Devils Tower NM,"2,575",,,,,,,,,,,,,,,,,,,
Dinosaur NM,"7,437",,,,,,,,,,,,,,,,,,,
Dry Tortugas NP,"6,970",,,,,,,,,,,,,,,,,,,
Dwight D. Eisenhower MEM,"29,821",,,,,,,,,,,,,,,,,,,
Edgar Allan Poe NHS,800,,,,,,,,,,,,,,,,,,,
Effigy Mounds NM,"1,613",,,,,,,,,,,,,,,,,,,
Eisenhower NHS,"1,100",,,,,,,,,,,,,,,,,,,
El Malpais NM,"8,470",,,,,,,,,,,,,,,,,,,
El Morro NM,"2,794",,,,,,,,,,,,,,,,,,,
Eleanor Roosevelt NHS,788,,,,,,,,,,,,,,,,,,,
Eugene O'Neill NHS,542,,,,,,,,,,,,,,,,,,,
Everglades NP,"76,319",,,,,,,,,,,,,,,,,,,
Federal Hall NMEM,"5,036",,,,,,,,,,,,,,,,,,,
Fire Island NS,"6,705",,,,,,,,,,,,,,,,,,,
First Ladies NHS,"1,036",,,,,,,,,,,,,,,,,,,
Flight 93 NMEM,"6,242",,,,,,,,,,,,,,,,,,,
