Park,Feb-22
Abraham Lincoln Birthplace NHP,"10,174"
Acadia NP,"13,045"
Adams NHP,125
African Burial Ground NM,"1,163"
Agate Fossil Beds NM,117
Alibates Flint Quarries NM,388
Allegheny Portage Railroad NHS,"7,877"
Amistad NRA,"55,144"
Andersonville NHS,"3,450"
Andrew Johnson NHS,"3,767"
Antietam NB,"2,771"
Apostle Islands NL,"4,933"
Appomattox Court House NHP,"2,351"
Arches NP,"51,568"
Arkansas Post NMEM,"1,243"
Arlington House The R.E. Lee MEM,"3,864"
Assateague Island NS,"62,687"
Aztec Ruins NM,"2,215"
Badlands NP,"12,866"
Bandelier NM,"8,822"
Bent's Old Fort NHS,411
Bering Land Bridge NPRES,127
Big Bend NP,"47,229"
Big Cypress NPRES,"366,346"
Big Hole NB,735
Big South Fork NRRA,"42,167"
Big Thicket NPRES,"18,418"
Bighorn Canyon NRA,"5,187"
Biscayne NP,"62,829"
Black Canyon of the Gunnison NP,"6,088"
Blue Ridge PKWY,"525,156"
Booker T. Washington NM,761
Boston African American NHS,"1,158"
Boston NHP,"38,737"
Brown v. Board of Education NHP,613
Bryce Canyon NP,"35,611"
Buck Island Reef NM,"4,031"
Buffalo NR,"29,398"
Cabrillo NM,"63,019"
Camp Nelson NM,454
Canaveral NS,"187,363"
Cane River Creole NHP,887
Canyon de Chelly NM,"18,347"
Canyonlands NP,"19,077"
Cape Cod NS,"157,612"
Cape Hatteras NS,"69,534"
Cape Krusenstern NM,835
Cape Lookout NS,"12,296"
Capitol Reef NP,"25,859"
Capulin Volcano NM,"2,029"
Carl Sandburg Home NHS,"5,261"
Carlsbad Caverns NP,"21,887"
Casa Grande Ruins NM,"8,502"
Castillo de San Marcos NM,"42,814"
Castle Clinton NM,"117,759"
Catoctin Mountain Park,"45,077"
Cedar Breaks NM,"14,001"
Cesar E. Chavez NM,925
Chaco Culture NHP,"1,347"
Chamizal NMEM,934
Channel Islands NP,"21,175"
Charles Pinckney NHS,977
Charles Young Buffalo Soldiers NM,240
Chattahoochee River NRA,"233,931"
Chesapeake & Ohio Canal NHP,"237,858"
Chickamauga & Chattanooga NMP,"65,185"
Chickasaw NRA,"57,099"
Chiricahua NM,"6,130"
Christiansted NHS,"8,145"
City of Rocks NRES,"1,327"
Colonial NHP,"108,854"
Colorado NM,"26,984"
Congaree NP,"16,124"
Coronado NMEM,"11,168"
Cowpens NB,"17,579"
Crater Lake NP,"9,213"
Craters of the Moon NM & PRES,"4,507"
Cumberland Gap NHP,"38,153"
Cumberland Island NS,"6,395"
Curecanti NRA,"25,714"
Cuyahoga Valley NP,"110,513"
Dayton Aviation Heritage NHP,"1,420"
De Soto NMEM,"14,479"
Death Valley NP,"124,091"
Delaware Water Gap NRA,"224,352"
Denali NP & PRES,952
Devils Tower NM,"4,452"
Dinosaur NM,"4,954"
Dry Tortugas NP,"6,220"
Dwight D. Eisenhower MEM,"42,219"
Effigy Mounds NM,"2,561"
Eisenhower NHS,29
El Malpais NM,"8,951"
El Morro NM,"2,182"
Eleanor Roosevelt NHS,603
Eugene O'Neill NHS,"2,199"
Everglades NP,"156,859"
Federal Hall NMEM,0
Fire Island NS,"9,205"
First Ladies NHS,110
Flight 93 NMEM,"7,449"
Florissant Fossil Beds NM,"1,875"
Ford's Theatre NHS,"10,840"
Fort Bowie NHS,"1,149"
Fort Caroline NMEM,"32,351"
Fort Davis NHS,"3,119"
Fort Donelson NB,"11,912"
Fort Frederica NM,"24,049"
Fort Laramie NHS,782
Fort Larned NHS,980
Fort Matanzas NM,"49,046"
Fort McHenry NM & HS,"4,754"
Fort Necessity NB,"2,831"
Fort Point NHS,"67,846"
Fort Pulaski NM,"38,244"
Fort Raleigh NHS,"7,838"
Fort Scott NHS,586
Fort Smith NHS,"4,176"
Fort Stanwix NM,"1,368"
Fort Sumter and Fort Moultrie NHP,"19,136"
Fort Union NM,419
Fort Union Trading Post NHS,26
Fort Vancouver NHS,"67,568"
Fort Washington Park,"17,928"
Fossil Butte NM,143
Franklin Delano Roosevelt MEM,"119,419"
Frederick Douglass NHS,160
Frederick Law Olmsted NHS,40
Fredericksburg & Spotsylvania NMP,"48,521"
Friendship Hill NHS,679
Gateway Arch NP,"38,975"
Gateway NRA,"463,345"
Gauley River NRA,"5,248"
General Grant NMEM,"1,981"
George Rogers Clark NHP,"2,439"
George Washington Birthplace NM,928
George Washington Carver NM,767
George Washington MEM PKWY,"297,723"
Gettysburg NMP,"22,692"
Gila Cliff Dwellings NM,"2,036"
Glacier Bay NP & PRES,22
Glacier NP,"18,461"
Glen Canyon NRA,"64,302"
Golden Gate NRA,"1,020,494"
Golden Spike NHP,"1,576"
Grand Canyon NP,"191,984"
Grand Portage NM,"1,359"
Grand Teton NP,"62,198"
Grant-Kohrs Ranch NHS,506
Great Basin NP,"3,061"
Great Sand Dunes NP & PRES,"8,459"
Great Smoky Mountains NP,"536,592"
Greenbelt Park,"6,158"
Guadalupe Mountains NP,"14,698"
Guilford Courthouse NMP,"29,323"
Gulf Islands NS,"358,148"
Hagerman Fossil Beds NM,160
Haleakala NP,"68,985"
Hamilton Grange NMEM,"1,290"
Hampton NHS,289
Harpers Ferry NHP,"12,690"
Harry S Truman NHS,276
Hawaii Volcanoes NP,"124,763"
Herbert Hoover NHS,"2,694"
Home of Franklin D. Roosevelt NHS,"2,506"
Homestead NHP,"1,662"
Hopewell Culture NHP,836
Hopewell Furnace NHS,"1,760"
Horseshoe Bend NMP,"3,791"
Hot Springs NP,"240,294"
Hovenweep NM,522
Hubbell Trading Post NHS,"4,306"
Independence NHP,"64,750"
Indiana Dunes NP,"74,372"
James A. Garfield NHS,"1,364"
Jean Lafitte NHP & PRES,"22,948"
Jewel Cave NM,296
Jimmy Carter NHP,"2,278"
"John D. Rockefeller, Jr. MEM PKWY","2,529"
John Day Fossil Beds NM,"5,008"
John Muir NHS,"3,923"
Johnstown Flood NMEM,"2,616"
Joshua Tree NP,"302,834"
Kalaupapa NHP,246
Kaloko Honokohau NHP,"25,872"
Katahdin Woods and Waters NM,"10,766"
Katmai NP & PRES,0
Kenai Fjords NP,43
