Park,Jan-22
Abraham Lincoln Birthplace NHP,"5,833"
Acadia NP,"10,411"
Adams NHP,84
African Burial Ground NM,458
Agate Fossil Beds NM,113
Alibates Flint Quarries NM,407
Allegheny Portage Railroad NHS,"6,748"
Amistad NRA,"50,108"
Andersonville NHS,"2,528"
Andrew Johnson NHS,"3,252"
Antietam NB,"1,435"
Apostle Islands NL,"3,943"
Appomattox Court House NHP,915
Arches NP,"40,621"
Arkansas Post NMEM,"1,231"
Arlington House The R.E. Lee MEM,794
Assateague Island NS,"42,200"
Aztec Ruins NM,"1,976"
Badlands NP,"12,671"
Bandelier NM,"7,059"
Bent's Old Fort NHS,315
Bering Land Bridge NPRES,260
Big Bend NP,"46,768"
Big Cypress NPRES,"357,457"
Big Hole NB,591
Big South Fork NRRA,"29,466"
Big Thicket NPRES,"17,583"
Bighorn Canyon NRA,"6,330"
Biscayne NP,"55,096"
Black Canyon of the Gunnison NP,"7,260"
Blue Ridge PKWY,"261,756"
Booker T. Washington NM,829
Boston African American NHS,787
Boston NHP,"24,889"
Brown v. Board of Education NHP,264
Bryce Canyon NP,"30,960"
Buck Island Reef NM,"3,792"
Buffalo NR,"33,465"
Cabrillo NM,"68,589"
Camp Nelson NM,252
Canaveral NS,"151,584"
Cane River Creole NHP,778
Canyon de Chelly NM,"14,409"
Canyonlands NP,"15,184"
Cape Cod NS,"114,232"
Cape Hatteras NS,"65,346"
Cape Krusenstern NM,"1,098"
Cape Lookout NS,"17,645"
Capitol Reef NP,"20,089"
Capulin Volcano NM,"2,271"
Carl Sandburg Home NHS,"2,148"
Carlsbad Caverns NP,"20,549"
Casa Grande Ruins NM,"6,511"
Castillo de San Marcos NM,"45,244"
Castle Clinton NM,"101,419"
Catoctin Mountain Park,"29,554"
Cedar Breaks NM,"18,001"
Cesar E. Chavez NM,611
Chaco Culture NHP,982
Chamizal NMEM,0
Channel Islands NP,"16,968"
Charles Pinckney NHS,591
Charles Young Buffalo Soldiers NM,175
Chattahoochee River NRA,"227,042"
Chesapeake & Ohio Canal NHP,"209,068"
Chickamauga & Chattanooga NMP,"59,671"
Chickasaw NRA,"45,093"
Chiricahua NM,"4,894"
Christiansted NHS,"8,143"
City of Rocks NRES,"1,285"
Colonial NHP,"132,518"
Colorado NM,"26,657"
Congaree NP,"11,149"
Coronado NMEM,"10,418"
Cowpens NB,"15,779"
Crater Lake NP,"6,752"
Craters of the Moon NM & PRES,"2,387"
Cumberland Gap NHP,"31,769"
Cumberland Island NS,"3,510"
Curecanti NRA,"14,450"
Cuyahoga Valley NP,"98,868"
Dayton Aviation Heritage NHP,"1,038"
De Soto NMEM,"9,170"
Death Valley NP,"92,212"
Delaware Water Gap NRA,"202,308"
Denali NP & PRES,403
Devils Tower NM,"3,058"
Dinosaur NM,"6,132"
Dry Tortugas NP,"6,633"
Dwight D. Eisenhower MEM,"31,381"
Effigy Mounds NM,"1,854"
Eisenhower NHS,36
El Malpais NM,"8,349"
El Morro NM,"2,663"
Eleanor Roosevelt NHS,478
Eugene O'Neill NHS,"1,522"
Everglades NP,"139,538"
Federal Hall NMEM,0
Fire Island NS,"3,526"
First Ladies NHS,134
Flight 93 NMEM,"5,388"
Florissant Fossil Beds NM,"1,920"
Ford's Theatre NHS,"5,868"
Fort Bowie NHS,"1,005"
Fort Caroline NMEM,"38,482"
Fort Davis NHS,"2,434"
Fort Donelson NB,"10,340"
Fort Frederica NM,"12,839"
Fort Laramie NHS,784
Fort Larned NHS,972
Fort Matanzas NM,"39,819"
Fort McHenry NM & HS,"6,056"
Fort Necessity NB,"3,421"
Fort Point NHS,"55,040"
Fort Pulaski NM,"35,960"
Fort Raleigh NHS,"5,111"
Fort Scott NHS,439
Fort Smith NHS,"4,699"
Fort Stanwix NM,887
Fort Sumter and Fort Moultrie NHP,"9,231"
Fort Union NM,430
Fort Union Trading Post NHS,22
Fort Vancouver NHS,"50,218"
Fort Washington Park,"12,140"
Fossil Butte NM,80
Franklin Delano Roosevelt MEM,"60,104"
Frederick Douglass NHS,51
Frederick Law Olmsted NHS,42
Fredericksburg & Spotsylvania NMP,"56,470"
Friendship Hill NHS,544
Gateway Arch NP,"37,942"
Gateway NRA,"414,667"
Gauley River NRA,"3,645"
General Grant NMEM,"5,430"
George Rogers Clark NHP,"2,101"
George Washington Birthplace NM,"1,142"
George Washington Carver NM,722
George Washington MEM PKWY,"180,654"
Gettysburg NMP,"13,010"
Gila Cliff Dwellings NM,"1,494"
Glacier Bay NP & PRES,172
Glacier NP,"17,539"
Glen Canyon NRA,"52,037"
Golden Gate NRA,"1,012,454"
Golden Spike NHP,"1,352"
Grand Canyon NP,"180,094"
Grand Portage NM,966
Grand Teton NP,"59,920"
Grant-Kohrs Ranch NHS,580
Great Basin NP,"2,673"
Great Sand Dunes NP & PRES,"6,013"
Great Smoky Mountains NP,"409,267"
Greenbelt Park,"2,865"
Guadalupe Mountains NP,"13,329"
Guilford Courthouse NMP,"21,559"
Gulf Islands NS,"355,107"
Hagerman Fossil Beds NM,88
Haleakala NP,"71,681"
Hamilton Grange NMEM,"1,140"
Hampton NHS,209
Harpers Ferry NHP,"3,584"
Harry S Truman NHS,275
Hawaii Volcanoes NP,"131,878"
Herbert Hoover NHS,"7,853"
Home of Franklin D. Roosevelt NHS,"2,698"
Homestead NHP,"1,731"
Hopewell Culture NHP,949
Hopewell Furnace NHS,"1,178"
Horseshoe Bend NMP,"4,278"
Hot Springs NP,"152,015"
Hovenweep NM,488
Hubbell Trading Post NHS,"2,312"
Independence NHP,"59,309"
Indiana Dunes NP,"71,633"
James A. Garfield NHS,477
Jean Lafitte NHP & PRES,"17,305"
Jewel Cave NM,9
Jimmy Carter NHP,"1,174"
"John D. Rockefeller, Jr. MEM PKWY","2,397"
John Day Fossil Beds NM,"3,706"
John Muir NHS,"3,923"
Johnstown Flood NMEM,987
Joshua Tree NP,"277,128"
Kalaupapa NHP,258
Kaloko Honokohau NHP,"24,855"
Katahdin Woods and Waters NM,"3,678"
Katmai NP & PRES,20
Kenai Fjords NP,22
Kennesaw Mountain NBP,"76,953"
Keweenaw NHP,96
Kings Canyon NP,"21,971"
Kings Mountain NMP,"9,428"
Klondike Gold Rush NHP Alaska,199
Klondike Gold Rush NHP Seattle,"2,223"
Knife River Indian Villages NHS,30
Kobuk Valley NP,"1,098"
Korean War Veterans Memorial,"107,655"
Lake Chelan NRA,"1,079"
Lake Mead NRA,"345,077"
Lake Meredith NRA,"34,695"
Lake Roosevelt NRA,"38,870"
Lassen Volcanic NP,"9,894"
Lava Beds NM,"2,463"
LBJ Memorial Grove on the Potomac,"16,200"
Lewis & Clark NHP,"13,335"
Lincoln Boyhood NMEM,"1,248"
Lincoln Home NHS,"2,171"
Lincoln Memorial,"277,557"
Little Bighorn Battlefield NM,805
Little River Canyon NPRES,"38,894"
Little Rock Central High School NHS,"4,046"
Longfellow House Washington's HQ NHS,"1,864"
Lowell NHP,988
Lyndon B. Johnson NHP,"5,342"
Maggie L. Walker NHS,153
Mammoth Cave NP,"15,564"
Manassas NBP,"20,664"
Manhattan Project NHP,436
Manzanar NHS,"6,700"
Marsh-Billings-Rockefeller NHP,"1,242"
"Martin Luther King, Jr. Memorial","98,411"
"Martin Luther King, Jr. NHP","11,250"
Martin Van Buren NHS,335
Medgar and Myrlie Evers Home NM,29
Mesa Verde NP,"7,852"
Minidoka NHS,150
Minute Man NHP,"39,089"
Minuteman Missile NHS,520
Mississippi NRRA,"15,640"
Missouri NRR,"5,061"
Mojave NPRES,"53,146"
Monocacy NB,"6,355"
Montezuma Castle NM,"24,410"
Moores Creek NB,"2,778"
Morristown NHP,"20,074"
Mount Rainier NP,"23,623"
Mount Rushmore NMEM,"23,916"
Muir Woods NM,"42,094"
Natchez NHP,"3,028"
Natchez Trace PKWY,"574,486"
National Capital Parks Central,"17,025"
National Capital Parks East,"57,304"
National Park of American Samoa,102
Natural Bridges NM,"1,056"
Navajo NM,"1,198"
New Bedford Whaling NHP,91
New Orleans Jazz NHP,"3,355"
New River Gorge NP & PRES,"31,656"
Nez Perce NHP,"20,223"
Nicodemus NHS,73
Ninety Six NHS,"5,944"
Niobrara NSR,801
Noatak NPRES,898
North Cascades NP,11
Obed W&SR,"18,096"
Ocmulgee Mounds NHP,"7,394"
Olympic NP,"65,553"
Oregon Caves NM & PRES,702
Organ Pipe Cactus NM,"27,828"
Ozark NSR,"18,054"
Padre Island NS,"28,793"
Palo Alto Battlefield NHP,"11,441"
Paterson Great Falls NHP,"8,986"
Pea Ridge NMP,"3,024"
Pearl Harbor NMEM,"93,242"
Pecos NHP,"2,027"
Perry's Victory & Intl. Peace MEM,880
Petersburg NB,"7,502"
Petrified Forest NP,"26,566"
Petroglyph NM,"30,362"
Pictured Rocks NL,"8,954"
Pinnacles NP,"27,724"
Pipe Spring NM,639
Pipestone NM,150
Piscataway Park,"8,692"
Point Reyes NS,"164,080"
Port Chicago Naval Magazine NMEM,137
President W.J. Clinton Birthplace Home NHS,264
President's Park,"5,822"
Prince William Forest Park,"10,784"
Pu'uhonua o Honaunau NHP,"30,531"
Pu'ukohola Heiau NHS,"2,626"
Rainbow Bridge NM,1
Reconstruction Era NHP,647
Redwood NP,"20,630"
Richmond NBP,"11,889"
Rio Grande W&SR,14
River Raisin NBP,"14,134"
Rock Creek Park,"127,318"
Rocky Mountain NP,"130,331"
Roger Williams NMEM,592
Rosie The Riveter WWII Home Front NHP,"1,711"
Ross Lake NRA,"3,610"
Russell Cave NM,815
Sagamore Hill NHS,"5,074"
Saguaro NP,"100,022"
Saint Croix NSR,356
Saint Paul's Church NHS,215
Saint-Gaudens NHP,260
Salem Maritime NHS,"1,646"
Salinas Pueblo Missions NM,"2,187"
Salt River Bay NHP & Ecological Pres,992
San Antonio Missions NHP,"84,410"
San Francisco Maritime NHP,"204,660"
San Juan Island NHP,"18,100"
San Juan NHS,"54,655"
Sand Creek Massacre NHS,128
Santa Monica Mountains NRA,"73,078"
Saratoga NHP,376
Saugus Iron Works NHS,651
Scotts Bluff NM,"3,503"
Sequoia NP,"32,564"
Shenandoah NP,"13,592"
Shiloh NMP,"24,791"
Sitka NHP,732
Sleeping Bear Dunes NL,"16,143"
Springfield Armory NHS,476
Statue of Liberty NM,"80,969"
Steamtown NHS,"1,109"
Stones River NB,"18,983"
Sunset Crater Volcano NM,"3,332"
Tallgrass Prairie NPRES,867
Theodore Roosevelt Birthplace NHS,100
Theodore Roosevelt Inaugural NHS,396
Theodore Roosevelt Island,"12,500"
Theodore Roosevelt NP,"2,449"
Thomas Edison NHP,212
Thomas Jefferson MEM,"68,378"
Thomas Stone NHS,185
Timpanogos Cave NM,634
Timucuan EHP,"74,260"
Tonto NM,"3,411"
Tule Springs Fossil Beds NM,"7,391"
Tumacacori NHP,"3,954"
Tuskegee Airmen NHS,495
Tuskegee Institute NHS,402
Tuzigoot NM,"8,189"
Ulysses S. Grant NHS,803
Upper Delaware S&RR,"5,153"
Valles Caldera NPRES,"2,910"
Valley Forge NHP,"37,836"
Vanderbilt Mansion NHS,"11,626"
Vicksburg NMP,"23,845"
Vietnam Veterans MEM,"122,003"
Virgin Islands NP,"26,276"
Voyageurs NP,"4,464"
Waco Mammoth NM,"4,212"
Walnut Canyon NM,"6,808"
War in the Pacific NHP,"27,670"
Washington Monument,"11,897"
Washita Battlefield NHS,"1,046"
Weir Farm NHP,"1,020"
Whiskeytown NRA,"41,382"
White House,0
White Sands NP,"45,083"
Whitman Mission NHS,"1,986"
William Howard Taft NHS,574
Wilson's Creek NB,"14,660"
Wind Cave NP,"12,433"
Wolf Trap NP for the Performing Arts,"7,098"
Women's Rights NHP,175
