Park,Jul-22
Abraham Lincoln Birthplace NHP,"36,369"
Acadia NP,"791,358"
Adams NHP,"2,041"
African Burial Ground NM,"3,073"
Agate Fossil Beds NM,"3,236"
Alagnak Wild River,122
Alibates Flint Quarries NM,545
Allegheny Portage Railroad NHS,"22,663"
Amistad NRA,"55,101"
Andersonville NHS,"4,798"
Andrew Johnson NHS,"4,933"
Aniakchak NM & PRES,72
Antietam NB,"13,952"
Apostle Islands NL,"64,711"
Appomattox Court House NHP,"10,852"
Arches NP,"158,925"
Arkansas Post NMEM,"1,718"
Arlington House The R.E. Lee MEM,"36,444"
Assateague Island NS,"476,388"
Aztec Ruins NM,"5,945"
Badlands NP,"224,054"
Bandelier NM,"24,394"
Bent's Old Fort NHS,"4,336"
Bering Land Bridge NPRES,438
Big Bend NP,"19,117"
Big Cypress NPRES,"185,896"
Big Hole NB,"11,388"
Big South Fork NRRA,"70,634"
Big Thicket NPRES,"23,590"
Bighorn Canyon NRA,"53,259"
Biscayne NP,"68,066"
Black Canyon of the Gunnison NP,"50,608"
Blue Ridge PKWY,"1,852,622"
Bluestone NSR,"3,519"
Booker T. Washington NM,"2,519"
Boston African American NHS,"92,841"
Boston Harbor Islands NRA,"6,994"
Boston NHP,"350,959"
Brown v. Board of Education NHP,"2,285"
Bryce Canyon NP,"318,861"
Buck Island Reef NM,"3,885"
Buffalo NR,"220,598"
Cabrillo NM,"80,622"
Camp Nelson NM,"2,088"
Canaveral NS,"233,352"
Cane River Creole NHP,"1,253"
Canyon de Chelly NM,"29,905"
Canyonlands NP,"67,640"
Cape Cod NS,"643,809"
Cape Hatteras NS,"443,905"
Cape Krusenstern NM,"1,889"
Cape Lookout NS,"70,956"
Capitol Reef NP,"107,562"
Capulin Volcano NM,"19,866"
Carl Sandburg Home NHS,"7,842"
Carlsbad Caverns NP,"51,525"
Casa Grande Ruins NM,"4,423"
Castillo de San Marcos NM,"68,857"
Castle Clinton NM,"459,099"
Catoctin Mountain Park,"24,455"
Cedar Breaks NM,"135,477"
Cesar E. Chavez NM,"1,209"
Chaco Culture NHP,"2,899"
Chamizal NMEM,278
Channel Islands NP,"37,853"
Charles Pinckney NHS,667
Charles Young Buffalo Soldiers NM,438
Chattahoochee River NRA,"342,567"
Chesapeake & Ohio Canal NHP,"405,490"
Chickamauga & Chattanooga NMP,"85,989"
Chickasaw NRA,"268,256"
Chiricahua NM,"2,631"
Christiansted NHS,"7,724"
City of Rocks NRES,"11,221"
Colonial NHP,"278,243"
Colorado NM,"46,565"
Congaree NP,"12,054"
Coronado NMEM,"9,473"
Cowpens NB,"19,232"
Crater Lake NP,"139,513"
Craters of the Moon NM & PRES,"46,357"
Cumberland Gap NHP,"74,654"
Cumberland Island NS,"5,520"
Curecanti NRA,"247,012"
Cuyahoga Valley NP,"375,656"
Dayton Aviation Heritage NHP,"9,036"
De Soto NMEM,"10,311"
Death Valley NP,"84,575"
Delaware Water Gap NRA,"640,793"
Denali NP & PRES,"115,369"
Devils Postpile NM,"45,546"
Devils Tower NM,"108,965"
Dinosaur NM,"64,074"
Dry Tortugas NP,"6,849"
Dwight D. Eisenhower MEM,"37,711"
Edgar Allan Poe NHS,"1,795"
Effigy Mounds NM,"9,914"
Eisenhower NHS,"3,405"
El Malpais NM,"15,331"
El Morro NM,"7,392"
Eleanor Roosevelt NHS,"2,683"
Eugene O'Neill NHS,"1,652"
Everglades NP,"80,773"
Federal Hall NMEM,"4,917"
Fire Island NS,"98,336"
First Ladies NHS,"1,191"
Flight 93 NMEM,"45,185"
Florissant Fossil Beds NM,"12,418"
