Park,Jun-22
Abraham Lincoln Birthplace NHP,"36,056"
Acadia NP,"603,023"
Adams NHP,"2,109"
African Burial Ground NM,"3,253"
Agate Fossil Beds NM,"3,332"
Alagnak Wild River,12
Alibates Flint Quarries NM,770
Allegheny Portage Railroad NHS,"17,915"
Amistad NRA,"98,182"
Andersonville NHS,"4,765"
Andrew Johnson NHS,"5,429"
Aniakchak NM & PRES,11
Antietam NB,"13,411"
Apostle Islands NL,"36,570"
Appomattox Court House NHP,"11,437"
Arches NP,"171,859"
Arkansas Post NMEM,"3,418"
Arlington House The R.E. Lee MEM,"51,784"
Assateague Island NS,"329,823"
Aztec Ruins NM,"7,138"
Badlands NP,"204,969"
Bandelier NM,"16,832"
Bent's Old Fort NHS,"3,571"
Bering Land Bridge NPRES,148
Big Bend NP,"22,385"
Big Cypress NPRES,"193,026"
Big Hole NB,"10,787"
Big South Fork NRRA,"94,857"
Big Thicket NPRES,"23,059"
Bighorn Canyon NRA,"29,504"
Biscayne NP,"54,233"
Black Canyon of the Gunnison NP,"31,658"
Blue Ridge PKWY,"1,798,134"
Bluestone NSR,"3,080"
Booker T. Washington NM,"2,340"
Boston African American NHS,"100,146"
Boston Harbor Islands NRA,"4,187"
Boston NHP,"266,262"
Brown v. Board of Education NHP,"2,617"
Bryce Canyon NP,"330,108"
Buck Island Reef NM,"5,022"
Buffalo NR,"247,639"
Cabrillo NM,"65,354"
Camp Nelson NM,"2,676"
Canaveral NS,"204,447"
Cane River Creole NHP,"1,258"
Canyon de Chelly NM,"40,685"
Canyonlands NP,"87,086"
Cape Cod NS,"446,334"
Cape Hatteras NS,"424,206"
Cape Krusenstern NM,"1,551"
Cape Lookout NS,"76,779"
Capitol Reef NP,"165,870"
Capulin Volcano NM,"14,153"
Carl Sandburg Home NHS,"9,566"
Carlsbad Caverns NP,"45,193"
Casa Grande Ruins NM,"4,211"
Castillo de San Marcos NM,"58,754"
Castle Clinton NM,"366,200"
Catoctin Mountain Park,"51,177"
Cedar Breaks NM,"98,883"
Cesar E. Chavez NM,"1,091"
Chaco Culture NHP,"3,985"
Chamizal NMEM,638
Channel Islands NP,"30,138"
Charles Pinckney NHS,"1,134"
Charles Young Buffalo Soldiers NM,327
Chattahoochee River NRA,"377,837"
Chesapeake & Ohio Canal NHP,"417,863"
Chickamauga & Chattanooga NMP,"92,660"
Chickasaw NRA,"237,873"
Chiricahua NM,"2,765"
Christiansted NHS,"7,751"
City of Rocks NRES,"10,891"
Colonial NHP,"265,837"
Colorado NM,"50,020"
Congaree NP,"18,903"
Coronado NMEM,"10,061"
Cowpens NB,"16,897"
Crater Lake NP,"70,975"
Craters of the Moon NM & PRES,"47,343"
Cumberland Gap NHP,"71,365"
Cumberland Island NS,"6,392"
Curecanti NRA,"188,701"
Cuyahoga Valley NP,"336,744"
Dayton Aviation Heritage NHP,"8,676"
De Soto NMEM,"17,738"
Death Valley NP,"84,768"
Delaware Water Gap NRA,"443,974"
Denali NP & PRES,"104,177"
Devils Postpile NM,"19,243"
Devils Tower NM,"100,519"
Dinosaur NM,"69,510"
Dry Tortugas NP,"7,460"
Dwight D. Eisenhower MEM,"117,848"
Edgar Allan Poe NHS,"1,165"
Effigy Mounds NM,"7,292"
Eisenhower NHS,"4,469"
El Malpais NM,"15,501"
El Morro NM,"5,587"
Eleanor Roosevelt NHS,"2,036"
Eugene O'Neill NHS,"1,563"
Everglades NP,"85,214"
Federal Hall NMEM,"4,536"
Fire Island NS,"61,304"
First Ladies NHS,850
Flight 93 NMEM,"41,475"
Florissant Fossil Beds NM,"9,720"
Ford's Theatre NHS,"35,592"
Fort Bowie NHS,284
Fort Caroline NMEM,"21,553"
Fort Davis NHS,"3,340"
