Park,Mar-22
Abraham Lincoln Birthplace NHP,"16,447"
Acadia NP,"22,476"
Adams NHP,204
African Burial Ground NM,"1,667"
Agate Fossil Beds NM,400
Alibates Flint Quarries NM,996
Allegheny Portage Railroad NHS,"9,484"
Amistad NRA,"115,510"
Andersonville NHS,"11,014"
Andrew Johnson NHS,"3,354"
Antietam NB,"6,523"
Apostle Islands NL,"3,956"
Appomattox Court House NHP,"5,027"
Arches NP,"141,866"
Arkansas Post NMEM,"2,165"
Arlington House The R.E. Lee MEM,"26,514"
Assateague Island NS,"84,553"
Aztec Ruins NM,"3,738"
Badlands NP,"25,276"
Bandelier NM,"29,101"
Bent's Old Fort NHS,"1,281"
Bering Land Bridge NPRES,292
Big Bend NP,"85,414"
Big Cypress NPRES,"374,656"
Big Hole NB,799
Big South Fork NRRA,"63,779"
Big Thicket NPRES,"25,045"
Bighorn Canyon NRA,"6,877"
Biscayne NP,"64,243"
Black Canyon of the Gunnison NP,"9,127"
Blue Ridge PKWY,"782,472"
Booker T. Washington NM,"1,313"
Boston African American NHS,"4,098"
Boston NHP,"82,891"
Brown v. Board of Education NHP,"1,308"
Bryce Canyon NP,"101,308"
Buck Island Reef NM,"5,730"
Buffalo NR,"88,549"
Cabrillo NM,"67,546"
Camp Nelson NM,630
Canaveral NS,"242,357"
Cane River Creole NHP,"1,771"
Canyon de Chelly NM,"33,602"
Canyonlands NP,"77,834"
Cape Cod NS,"192,170"
Cape Hatteras NS,"147,652"
Cape Krusenstern NM,689
Cape Lookout NS,"24,968"
Capitol Reef NP,"90,092"
Capulin Volcano NM,"6,503"
Carl Sandburg Home NHS,"13,521"
Carlsbad Caverns NP,"48,021"
Casa Grande Ruins NM,"10,823"
Castillo de San Marcos NM,"63,932"
Castle Clinton NM,"210,492"
Catoctin Mountain Park,"24,803"
Cedar Breaks NM,"14,589"
Cesar E. Chavez NM,"1,325"
Chaco Culture NHP,"4,697"
Chamizal NMEM,762
Channel Islands NP,"25,048"
Charles Pinckney NHS,"1,120"
