Park,May-22
Abraham Lincoln Birthplace NHP,"30,360"
Acadia NP,"327,466"
Adams NHP,"1,343"
African Burial Ground NM,"2,213"
Agate Fossil Beds NM,"2,123"
Alibates Flint Quarries NM,958
Allegheny Portage Railroad NHS,"15,378"
Amistad NRA,"72,091"
Andersonville NHS,"6,956"
Andrew Johnson NHS,"6,572"
Aniakchak NM & PRES,54
Antietam NB,"13,972"
Apostle Islands NL,"14,980"
Appomattox Court House NHP,"9,888"
Arches NP,"172,114"
Arkansas Post NMEM,"3,032"
Arlington House The R.E. Lee MEM,"41,217"
Assateague Island NS,"199,396"
Aztec Ruins NM,"6,897"
Badlands NP,"98,542"
Bandelier NM,"6,678"
Bent's Old Fort NHS,"4,223"
Bering Land Bridge NPRES,172
Big Bend NP,"40,722"
Big Cypress NPRES,"204,206"
Big Hole NB,"4,508"
Big South Fork NRRA,"76,874"
Big Thicket NPRES,"26,854"
Bighorn Canyon NRA,"20,578"
Biscayne NP,"70,048"
Black Canyon of the Gunnison NP,"30,145"
Blue Ridge PKWY,"1,453,953"
Bluestone NSR,809
Booker T. Washington NM,"2,285"
Boston African American NHS,"38,032"
Boston Harbor Islands NRA,"4,424"
Boston NHP,"167,603"
Brown v. Board of Education NHP,"1,524"
Bryce Canyon NP,"299,919"
Buck Island Reef NM,"4,042"
Buffalo NR,"165,318"
Cabrillo NM,"61,847"
Camp Nelson NM,"1,941"
Canaveral NS,"223,204"
Cane River Creole NHP,"1,413"
Canyon de Chelly NM,"37,711"
Canyonlands NP,"114,926"
Cape Cod NS,"305,843"
Cape Hatteras NS,"269,958"
Cape Krusenstern NM,924
Cape Lookout NS,"49,231"
Capitol Reef NP,"221,889"
Capulin Volcano NM,"8,185"
Carl Sandburg Home NHS,"8,308"
Carlsbad Caverns NP,"34,898"
Casa Grande Ruins NM,"4,851"
Castillo de San Marcos NM,"48,872"
Castle Clinton NM,"366,200"
Catoctin Mountain Park,"38,775"
Cedar Breaks NM,"62,564"
Cesar E. Chavez NM,"1,320"
Chaco Culture NHP,"5,805"
Chamizal NMEM,738
Channel Islands NP,"23,636"
Charles Pinckney NHS,"1,131"
Charles Young Buffalo Soldiers NM,262
Chattahoochee River NRA,"359,759"
Chesapeake & Ohio Canal NHP,"428,772"
Chickamauga & Chattanooga NMP,"91,215"
Chickasaw NRA,"167,500"
Chiricahua NM,"5,430"
Christiansted NHS,"8,152"
City of Rocks NRES,"12,152"
Colonial NHP,"295,075"
Colorado NM,"50,354"
Congaree NP,"24,164"
Coronado NMEM,"9,818"
Cowpens NB,"19,959"
Crater Lake NP,"31,822"
Craters of the Moon NM & PRES,"24,415"
Cumberland Gap NHP,"73,585"
Cumberland Island NS,"6,137"
Curecanti NRA,"126,716"
Cuyahoga Valley NP,"325,101"
Dayton Aviation Heritage NHP,"11,940"
De Soto NMEM,"17,086"
Death Valley NP,"92,601"
Delaware Water Gap NRA,"416,042"
Denali NP & PRES,"37,305"
Devils Postpile NM,593
Devils Tower NM,"41,593"
Dinosaur NM,"42,012"
Dry Tortugas NP,"7,951"
Dwight D. Eisenhower MEM,"110,138"
