Park,Oct-22
Abraham Lincoln Birthplace NHP,"21,857"
Acadia NP,"521,646"
Adams NHP,"2,207"
African Burial Ground NM,"3,173"
Agate Fossil Beds NM,"1,172"
Alagnak Wild River,0
Alibates Flint Quarries NM,"1,099"
Allegheny Portage Railroad NHS,"19,989"
Amistad NRA,"81,787"
Andersonville NHS,"4,833"
Andrew Johnson NHS,"5,123"
Aniakchak NM & PRES,2
Antietam NB,"15,181"
Apostle Islands NL,"19,142"
Appomattox Court House NHP,"8,029"
Arches NP,"146,986"
Arkansas Post NMEM,"1,665"
Arlington House The R.E. Lee MEM,"29,085"
Assateague Island NS,"144,353"
Aztec Ruins NM,"4,326"
Badlands NP,"61,115"
Bandelier NM,"23,178"
Bent's Old Fort NHS,"1,659"
Bering Land Bridge NPRES,422
Big Bend NP,"45,546"
Big Cypress NPRES,"153,852"
Big Hole NB,"7,914"
Big South Fork NRRA,"91,465"
Big Thicket NPRES,"23,641"
Bighorn Canyon NRA,"8,300"
Biscayne NP,"44,757"
Black Canyon of the Gunnison NP,"23,413"
Blue Ridge PKWY,"2,179,741"
Bluestone NSR,"1,067"
Booker T. Washington NM,"2,245"
Boston African American NHS,"15,881"
Boston Harbor Islands NRA,"2,166"
Boston NHP,"285,501"
Brown v. Board of Education NHP,"1,327"
Bryce Canyon NP,"233,647"
Buck Island Reef NM,"2,457"
Buffalo NR,"108,175"
Cabrillo NM,"52,312"
Camp Nelson NM,"1,704"
Canaveral NS,"169,750"
Cane River Creole NHP,"1,399"
Canyon de Chelly NM,"35,924"
Canyonlands NP,"91,788"
Cape Cod NS,"366,049"
Cape Hatteras NS,"230,135"
Cape Krusenstern NM,"1,748"
Cape Lookout NS,"43,607"
Capitol Reef NP,"140,119"
Capulin Volcano NM,"6,175"
Carl Sandburg Home NHS,"5,048"
Carlsbad Caverns NP,"32,267"
Casa Grande Ruins NM,"6,699"
Castillo de San Marcos NM,"43,844"
Castle Clinton NM,"319,653"
Catoctin Mountain Park,"52,403"
Cedar Breaks NM,"87,041"
Cesar E. Chavez NM,935
Chaco Culture NHP,"5,301"
Chamizal NMEM,"4,135"
Channel Islands NP,"27,647"
Charles Pinckney NHS,834
Charles Young Buffalo Soldiers NM,241
Chattahoochee River NRA,"279,372"
Chesapeake & Ohio Canal NHP,"368,091"
Chickamauga & Chattanooga NMP,"83,866"
Chickasaw NRA,"62,564"
Chiricahua NM,"5,484"
Christiansted NHS,"7,863"
City of Rocks NRES,"11,871"
Clara Barton NHS,266
Colonial NHP,"246,443"
Colorado NM,"43,808"
Congaree NP,"16,994"
Coronado NMEM,"9,905"
Cowpens NB,"18,570"
Crater Lake NP,"39,989"
Craters of the Moon NM & PRES,"19,536"
Cumberland Gap NHP,"83,354"
Cumberland Island NS,"5,442"
Curecanti NRA,"72,474"
Cuyahoga Valley NP,"318,589"
Dayton Aviation Heritage NHP,"6,435"
De Soto NMEM,"14,131"
Death Valley NP,"53,764"
Delaware Water Gap NRA,"361,253"
