Park,Sep-22
Abraham Lincoln Birthplace NHP,"31,130"
Acadia NP,"697,292"
Adams NHP,"1,811"
African Burial Ground NM,"3,134"
Agate Fossil Beds NM,"2,501"
Alagnak Wild River,10
Alibates Flint Quarries NM,624
Allegheny Portage Railroad NHS,"19,622"
Amistad NRA,"88,560"
Andersonville NHS,"3,106"
Andrew Johnson NHS,"4,943"
Aniakchak NM & PRES,16
Antietam NB,"13,945"
Apostle Islands NL,"34,720"
Appomattox Court House NHP,"8,454"
Arches NP,"158,728"
Arkansas Post NMEM,"1,403"
Arlington House The R.E. Lee MEM,"21,456"
Assateague Island NS,"260,634"
Aztec Ruins NM,"4,259"
Badlands NP,"121,571"
Bandelier NM,"20,363"
Bent's Old Fort NHS,"3,475"
Bering Land Bridge NPRES,61
Big Bend NP,"23,710"
Big Cypress NPRES,"147,270"
Big Hole NB,"7,719"
Big South Fork NRRA,"76,449"
Big Thicket NPRES,"24,009"
Bighorn Canyon NRA,"23,369"
Biscayne NP,"45,857"
Black Canyon of the Gunnison NP,"42,758"
Blue Ridge PKWY,"1,939,023"
Bluestone NSR,"2,270"
Booker T. Washington NM,"1,222"
Boston African American NHS,"34,623"
Boston Harbor Islands NRA,"5,052"
Boston NHP,"253,262"
Brown v. Board of Education NHP,"1,069"
Bryce Canyon NP,"336,588"
Buck Island Reef NM,"1,737"
Buffalo NR,"94,025"
Cabrillo NM,"52,568"
Camp Nelson NM,"1,611"
Canaveral NS,"159,502"
Cane River Creole NHP,"1,044"
Canyon de Chelly NM,"30,291"
Canyonlands NP,"86,326"
Cape Cod NS,"470,998"
Cape Hatteras NS,"358,962"
Cape Krusenstern NM,"1,550"
Cape Lookout NS,"63,551"
Capitol Reef NP,"130,243"
Capulin Volcano NM,"7,798"
Carl Sandburg Home NHS,"4,337"
Carlsbad Caverns NP,"23,494"
Casa Grande Ruins NM,"5,022"
Castillo de San Marcos NM,"36,393"
Castle Clinton NM,"288,319"
Catoctin Mountain Park,"28,715"
Cedar Breaks NM,"101,428"
Cesar E. Chavez NM,855
Chaco Culture NHP,"4,951"
Chamizal NMEM,"2,644"
Channel Islands NP,"31,120"
Charles Pinckney NHS,"1,787"
Charles Young Buffalo Soldiers NM,401
Chattahoochee River NRA,"312,764"
